timestamp,seq_num,RSSI_dBm,SNR_dB,P_LoRa,state_label,packet_status,radiation_wm2
2026-06-01 17:13:40,123,-20,67,0.9998,LORA,OK,1
2026-06-01 17:13:42,124,-22,65,0.9998,LORA,OK,1
2026-06-01 17:13:44,125,-21,66,0.9998,LORA,OK,1
2026-06-01 17:13:46,126,-21,66,0.9998,LORA,OK,1
2026-06-01 17:13:48,127,-23,64,0.9999,LORA,OK,1
2026-06-01 17:13:51,128,-21,66,0.9999,LORA,OK,1
2026-06-01 17:13:53,129,-21,66,0.9999,LORA,OK,1
2026-06-01 17:13:55,130,-21,66,0.9999,LORA,OK,1
2026-06-01 17:13:57,131,-21,66,0.9999,LORA,OK,1
2026-06-01 17:13:59,132,-22,65,0.9999,LORA,OK,1
2026-06-01 17:14:01,133,-21,66,0.9999,LORA,OK,1
2026-06-01 17:14:03,134,-102,-15,0.3499,SWITCHING,OK,1
2026-06-01 17:14:05,135,-22,65,0.9999,LORA,OK,1
2026-06-01 17:14:07,136,-23,64,0.9999,LORA,OK,1
2026-06-01 17:14:09,137,-22,65,0.9999,LORA,OK,1
2026-06-01 17:14:11,138,-22,65,0.9999,LORA,OK,1
2026-06-01 17:14:13,139,-21,66,0.9999,LORA,OK,1
2026-06-01 17:14:15,140,-22,65,0.9999,LORA,OK,1
2026-06-01 17:14:17,141,-21,66,0.9999,LORA,OK,1
2026-06-01 17:14:19,142,-21,66,0.9999,LORA,OK,1
2026-06-01 17:14:21,143,-21,66,0.9999,LORA,OK,1
2026-06-01 17:14:23,144,-21,66,0.9999,LORA,OK,1
2026-06-01 17:14:25,145,-21,66,0.9999,LORA,OK,1
2026-06-01 17:14:27,146,-21,66,0.9999,LORA,OK,1
2026-06-01 17:14:29,147,-21,66,0.9999,LORA,OK,1
2026-06-01 17:14:31,148,-21,66,0.9999,LORA,OK,1
2026-06-01 17:14:33,149,-102,-15,0.3499,SWITCHING,OK,1
2026-06-01 17:14:35,150,-21,66,0.9999,LORA,OK,1
2026-06-01 17:14:37,151,-21,66,0.9999,LORA,OK,1
2026-06-01 17:14:39,152,-21,66,0.9999,LORA,OK,1
2026-06-01 17:14:41,153,-22,65,0.9999,LORA,OK,1
2026-06-01 17:14:43,154,-21,66,0.9999,LORA,OK,1
2026-06-01 17:14:45,155,-21,66,0.9999,LORA,OK,1
2026-06-01 17:14:47,156,-20,67,0.9999,LORA,OK,1
2026-06-01 17:14:49,157,-19,68,0.9999,LORA,OK,1
2026-06-01 17:14:51,158,-19,68,0.9999,LORA,OK,1
2026-06-01 17:14:53,159,-20,67,0.9999,LORA,OK,1
2026-06-01 17:14:55,160,-21,66,0.9999,LORA,OK,1
2026-06-01 17:14:57,161,-20,67,0.9999,LORA,OK,1
2026-06-01 17:42:50,1,-40,20,0.9997,LORA,OK,0
2026-06-01 17:42:52,2,-42,20,0.9997,LORA,OK,0
2026-06-01 17:42:54,3,-101,2,0.6097,SWITCHING,OK,0
2026-06-01 17:42:56,4,-40,20,0.9997,LORA,OK,0
2026-06-01 17:42:58,5,-43,20,0.9997,LORA,OK,0
2026-06-01 17:43:01,6,-37,20,0.9997,LORA,OK,0
2026-06-01 17:43:03,7,-40,20,0.9997,LORA,OK,0
2026-06-01 17:43:05,8,-42,20,0.9997,LORA,OK,0
2026-06-01 17:43:07,9,-42,20,0.9997,LORA,OK,0
2026-06-01 17:43:09,10,-41,20,0.9997,LORA,OK,0
2026-06-01 17:43:11,11,-39,20,0.9997,LORA,OK,0
2026-06-01 17:43:13,12,-40,20,0.9997,LORA,OK,0
2026-06-01 17:43:15,13,-40,20,0.9997,LORA,OK,0
2026-06-01 17:43:17,14,-36,20,0.9997,LORA,OK,0
2026-06-01 17:43:19,15,-39,20,0.9997,LORA,OK,0
2026-06-01 17:43:21,16,-37,20,0.9997,LORA,OK,1
2026-06-01 17:43:23,17,-38,20,0.9997,LORA,OK,1
2026-06-01 17:43:30,18,-47,20,0.9997,LORA,OK,1
2026-06-01 17:43:33,19,-46,20,0.9997,LORA,OK,1
2026-06-01 17:43:35,20,-45,20,0.9997,LORA,OK,1
2026-06-01 17:43:37,21,-46,20,0.9997,LORA,OK,1
2026-06-01 17:43:39,22,-47,20,0.9997,LORA,OK,1
2026-06-01 17:43:41,23,-36,20,0.9997,LORA,OK,1
2026-06-01 17:43:43,24,-34,20,0.9997,LORA,OK,1
2026-06-01 17:43:45,25,-33,20,0.9997,LORA,OK,1
2026-06-01 17:43:47,26,-33,20,0.9997,LORA,OK,1
2026-06-01 17:43:49,27,-33,20,0.9997,LORA,OK,1
2026-06-01 17:43:51,28,-33,20,0.9997,LORA,OK,1
2026-06-01 17:43:53,29,-34,20,0.9997,LORA,OK,1
2026-06-01 17:44:01,30,-33,20,0.9997,LORA,OK,1
2026-06-01 17:44:03,31,-33,20,0.9997,LORA,OK,1
2026-06-01 17:44:05,32,-33,20,0.9997,LORA,OK,1
2026-06-01 17:44:07,33,-37,20,0.9997,LORA,OK,1
2026-06-01 17:44:09,34,-34,20,0.9997,LORA,OK,1
2026-06-01 17:44:11,35,-35,20,0.9997,LORA,OK,1
2026-06-01 17:44:13,36,-40,20,0.9997,LORA,OK,1
2026-06-01 17:44:15,37,-40,20,0.9997,LORA,OK,1
2026-06-01 17:44:17,38,-42,20,0.9997,LORA,OK,1
2026-06-01 17:44:19,39,-41,20,0.9997,LORA,OK,1
2026-06-01 17:44:21,40,-39,20,0.9997,LORA,OK,1
2026-06-01 17:44:23,41,-37,20,0.9997,LORA,OK,1
2026-06-01 17:44:31,42,-38,20,0.9997,LORA,OK,1
2026-06-01 17:44:33,43,-36,20,0.9997,LORA,OK,1
2026-06-01 17:44:37,44,-34,20,0.9997,LORA,OK,1
2026-06-01 17:44:37,45,-34,20,0.9997,LORA,OK,1
2026-06-01 17:44:39,46,-35,20,0.9996,LORA,OK,1
2026-06-01 17:44:41,47,-32,20,0.9996,LORA,OK,1
2026-06-01 17:44:43,48,-31,20,0.9996,LORA,OK,1
2026-06-01 17:44:45,49,-31,20,0.9996,LORA,OK,1
2026-06-01 17:44:47,50,-30,20,0.9996,LORA,OK,1
2026-06-01 17:44:50,51,-31,20,0.9996,LORA,OK,1
2026-06-01 17:44:52,52,-30,20,0.9996,LORA,OK,1
2026-06-01 17:44:53,53,-31,20,0.9996,LORA,OK,1
2026-06-01 17:44:55,54,-29,20,0.9996,LORA,OK,1
2026-06-01 17:44:58,55,-38,20,0.9996,LORA,OK,1
2026-06-01 17:45:11,56,-39,20,0.9996,LORA,OK,1
2026-06-01 17:45:13,57,-36,20,0.9996,LORA,OK,1
2026-06-01 17:45:15,58,-33,20,0.9996,LORA,OK,1
2026-06-01 17:45:17,59,-33,20,0.9996,LORA,OK,1
2026-06-01 17:45:19,60,-35,20,0.9996,LORA,OK,1
2026-06-01 17:45:21,61,-36,20,0.9996,LORA,OK,1
2026-06-01 17:45:24,62,-30,20,0.9996,LORA,OK,1
2026-06-01 17:45:26,63,-25,20,0.9996,LORA,OK,1
2026-06-01 17:45:28,64,-24,20,0.9996,LORA,OK,22
2026-06-01 17:45:30,65,-24,20,0.9996,LORA,OK,22
2026-06-01 17:45:32,66,-24,20,0.9996,LORA,OK,22
2026-06-01 17:45:34,67,-29,20,0.9996,LORA,OK,22
2026-06-01 17:45:36,68,-29,20,0.9996,LORA,OK,22
2026-06-01 17:45:38,69,-29,20,0.9996,LORA,OK,22
2026-06-01 17:45:40,70,-30,20,0.9996,LORA,OK,22
2026-06-01 17:45:42,71,-28,20,0.9996,LORA,OK,22
2026-06-01 17:45:44,72,-29,20,0.9995,LORA,OK,22
2026-06-01 17:45:46,73,-28,20,0.9995,LORA,OK,22
2026-06-01 17:45:48,74,-30,20,0.9995,LORA,OK,22
2026-06-01 17:45:50,75,-30,20,0.9995,LORA,OK,22
2026-06-01 17:45:52,76,-29,20,0.9995,LORA,OK,22
2026-06-01 17:45:54,77,-28,20,0.9995,LORA,OK,22
2026-06-01 17:45:57,78,-30,20,0.9995,LORA,OK,22
2026-06-01 17:45:59,79,-26,20,0.9995,LORA,OK,22
2026-06-01 17:46:01,80,-30,20,0.9995,LORA,OK,1
2026-06-01 17:46:03,81,-29,20,0.9995,LORA,OK,1
2026-06-01 17:46:05,82,-29,20,0.9995,LORA,OK,1
2026-06-01 17:46:07,83,-27,20,0.9995,LORA,OK,1
2026-06-01 17:46:09,84,-31,20,0.9995,LORA,OK,1
2026-06-01 17:46:12,85,-29,20,0.9995,LORA,OK,1
2026-06-01 17:46:14,86,-27,20,0.9995,LORA,OK,1
2026-06-01 17:46:16,87,-28,20,0.9995,LORA,OK,1
2026-06-01 17:46:18,88,-28,20,0.9995,LORA,OK,1
2026-06-01 17:46:30,89,-27,20,0.9995,LORA,OK,1
